trial,model,dataset,device,batch_size,learning_rate,epochs,accuracy,time_sec,energy_kwh,co2_kg,tool,hidden_size,accuracy_pct,energy_wh,co2_g,relative_accuracy,aer_energy,aer_co2,aer_time,aer_relative
0,SimpleNN,MNIST,mps,256,0.0002380493494588,3,0.9198,8.064806938171387,4.480448298984104e-05,1.4518194813065578e-06,CodeCarbon,,91.97999999999999,0.04480448298984104,0.0014518194813065578,0.937901498929336,2052.9195710361287,63354.98399375592,11.405108727978494,20.933206597696834
1,SimpleNN,MNIST,mps,64,0.0011822730047535,6,0.9731,18.530752897262573,0.000102948627207,1.3993509659112822e-05,CodeCarbon,,97.31,0.102948627207,0.013993509659112821,0.9922504333639237,945.2287285418353,6953.938102056478,5.251270714120578,9.638306602853424
2,SimpleNN,MNIST,mps,64,0.0002743337597293,6,0.9625,17.713392972946167,9.84077387385898e-05,4.137388354388358e-06,CodeCarbon,,96.25,0.0984077387385898,0.004137388354388358,0.9814418272662383,978.0734852131741,23263.467616693895,5.433741584517632,9.973217958735331
3,SimpleNN,MNIST,mps,128,0.000176667090659,6,0.9418,14.185601234436035,7.880889574686687e-05,3.1376931167008665e-06,CodeCarbon,,94.17999999999999,0.07880889574686686,0.0031376931167008664,0.9603344549811358,1195.0427563723886,30015.68238101811,6.639126424291048,12.185609833510641
4,SimpleNN,MNIST,mps,32,0.0005164484349254,6,0.9753,25.189549684524536,0.0001399419426918,1.142619140627486e-05,CodeCarbon,,97.53,0.13994194269180002,0.01142619140627486,0.9944937289691036,696.9318713460652,8535.652566299561,3.8718437297002803,7.106473655002193
5,SimpleNN,MNIST,mps,32,0.0002353920868794,6,0.9645,25.840994119644165,0.0001435610784424,1.1429987000923712e-05,CodeCarbon,,96.45,0.14356107844240001,0.011429987000923712,0.983481186907311,671.8394779870503,8438.329806692293,3.7324415443707446,6.850611583430715
6,SimpleNN,MNIST,mps,64,0.0068537888163404,3,0.9665,10.610285758972168,5.894603199428982e-05,2.265791132584703e-06,CodeCarbon,,96.65,0.05894603199428982,0.002265791132584703,0.9855205465483838,1639.6353873211112,42656.18247421882,9.109085485117285,16.71903117488642
7,SimpleNN,MNIST,mps,64,0.0034435079259004,6,0.9706,18.10614228248596,0.0001005896793471,1.4706650817675837e-05,CodeCarbon,,97.06,0.1005896793471,0.014706650817675837,0.9897012338125828,964.9101242790495,6599.73512686819,5.360611801547919,9.838993823585698
8,SimpleNN,MNIST,mps,32,0.0019624729628866,6,0.9728,25.887367963790897,0.0001438187109099,1.1225538775809137e-05,CodeCarbon,,97.28,0.1438187109099,0.011225538775809138,0.9919445294177628,676.407119661532,8665.953763362957,3.7578173314516636,6.897186903859813
9,SimpleNN,MNIST,mps,64,0.0060079010003877,2,0.9629,9.080058813095093,5.044477118386163e-05,4.173426463657715e-06,CodeCarbon,,96.28999999999999,0.05044477118386163,0.004173426463657715,0.9818496991944528,1908.8202352834787,23072.16883740383,10.604556862685993,19.463854749500136
