tracker,trial,batch_size,learning_rate,epochs,channels,noise_factor,psnr,time_sec,energy_kwh,co2_kg
codecarbon,0,16,0.0002998338011207,2,128,0.1810517042299099,23.43230899963379,371.88813996315,0.0011292889510248,0.000373476183305
codecarbon,1,32,0.0019933802879765,4,64,0.2373257596732877,21.957435126502673,284.13455176353455,0.0008541635071414,0.0002824872467548
codecarbon,2,16,0.0088132889528427,3,32,0.1332389040379319,24.80263363647461,118.47985315322876,0.0003261430146029,0.0001078613655034
codecarbon,3,8,0.0006307122938262,2,64,0.0849703771044106,27.797746696472167,132.14423608779907,0.0003487796021614,0.0001153476924676
codecarbon,4,32,0.0001551465316717,4,64,0.2122781803591242,22.310711979485166,287.61650490760803,0.0008465124377889,0.0002799569004006
codecarbon,5,8,0.0006032517937589,4,32,0.1867165291358076,23.294719793701173,137.24568819999695,0.000321814723116,0.0001064299215994
codecarbon,6,16,0.0039367762022237,1,64,0.1426102819547104,24.68765038757324,92.81343984603882,0.0002542669482064,8.409065657694353e-05
codecarbon,7,8,0.000163454946203,2,128,0.0542922790046297,30.65830570678711,390.6599261760712,0.0008188618531861,0.000270812354362
codecarbon,8,32,0.0010614606443913,3,32,0.2416314977825182,21.555807643805068,112.84068298339844,0.0003233611172988,0.0001069413419908
codecarbon,9,32,0.0026127258045435,4,64,0.0562865505194899,30.125463845249943,285.6579101085663,0.0008489358015479,0.0002807583504163
codecarbon,10,8,0.0036175601354793,4,128,0.106547195511083,26.433589601135253,721.98748087883,0.00145580111631,0.0004814596335838
codecarbon,11,32,0.0006647638749949,2,128,0.2040860436169921,22.59860757821665,354.51903009414673,0.001073812348592,0.0003551290723016
codecarbon,12,16,0.0067691020399441,4,64,0.2376040210621895,18.79645860595703,298.3712799549103,0.0008777974329556,0.0002903034114322
codecarbon,13,16,0.0004031897850445,2,64,0.2075650257108423,22.616106951904296,168.94677805900574,0.0004351450344841,0.0001439102955145
codecarbon,14,8,0.0001809667947692,1,128,0.2986949304162521,20.631323202514647,227.2207260131836,0.0004584574689946,0.0001516201372309
codecarbon,15,16,0.0002974231295739,3,64,0.1891585403748706,23.118465118408203,229.7411949634552,0.0006990388155201,0.0002311847189911
codecarbon,16,32,0.003464360973509,4,64,0.2309054601432286,22.214256079433063,301.23588013648987,0.0007625185043345,0.0002521785947165
codecarbon,17,32,0.0001942006388011,1,64,0.2921637838066946,19.930317248018405,94.70143508911131,0.0002477885745414,8.194814179519426e-05
codecarbon,18,32,0.0006206790152833,1,64,0.1231844235739322,24.72406772455087,93.86791491508484,0.0002355381144063,7.789669412023849e-05
codecarbon,19,8,0.0070273122583266,4,64,0.280441958217017,11.26022533340454,285.13602900505066,0.0006585398632225,0.0002177909864852
eco2ai,0,16,0.0032335171354682,2,64,0.244452025382969,21.76887227783203,156.87951374053955,6.864766981896081e-06,2.311463149542157e-06
eco2ai,1,8,0.000380612959911,4,128,0.0832496845749887,28.180265713500976,703.1944181919098,2.8783079824319577e-05,9.691665939965945e-06
eco2ai,2,16,0.0001297618768276,4,128,0.178322133487966,23.618723611450196,693.2919340133667,2.4437165947464713e-05,8.228335894834633e-06
eco2ai,3,32,0.0036620289388682,4,128,0.1649987029718148,19.654416361555885,669.5438230037689,3.542101663560063e-05,1.192675219543963e-05
eco2ai,4,16,0.001490447270218,1,128,0.1596576512416536,24.00840096435547,223.3349130153656,1.058435855060035e-05,3.563901705006846e-06
eco2ai,5,16,0.0002765626041229,2,32,0.266923507935317,20.812168283081053,87.21740293502808,3.1364965414835898e-06,1.0561022964691057e-06
eco2ai,6,16,0.0039139194615956,4,128,0.1075768320125304,24.698683804321288,715.7310309410095,2.6284616365872662e-05,8.850398315018448e-06
eco2ai,7,16,0.0031383174933358,1,64,0.1543766828510941,24.003202951049804,95.5259039402008,3.3686311919749794e-06,1.1342652831746631e-06
eco2ai,8,8,0.0001483841619645,4,128,0.0597240495644376,30.2885095413208,714.1739709377289,2.8246081262832377e-05,9.51085100633334e-06
eco2ai,9,32,0.0001982628963199,3,128,0.1967645997502533,22.902275243887125,528.9514079093933,2.7530479398471555e-05,9.269897840176952e-06
eco2ai,10,8,0.0001994351378298,2,32,0.1905949258439784,22.78442981567383,81.39715313911438,3.3015494657805297e-06,1.1116779268208254e-06
eco2ai,11,32,0.0007361461020203,4,32,0.0878413904448061,26.681055075063497,146.4373459815979,5.643668752705177e-06,1.9003022803983709e-06
eco2ai,12,8,0.0060640461547493,3,32,0.1711521869343337,23.57314400024414,110.91768193244934,4.424141856571093e-06,1.489670501093479e-06
eco2ai,13,32,0.0026288902667415,4,64,0.1015397293852233,26.752033708956297,295.40222096443176,1.32684227864767e-05,4.467663710125715e-06
eco2ai,14,32,0.0003007969739388,1,64,0.175054245320546,22.611252154024264,93.32233500480652,4.050049994566128e-06,1.3637085338703392e-06
eco2ai,15,32,0.0083499876428528,4,64,0.2936092318787123,11.225701962797023,293.380970954895,1.2694749219263407e-05,4.2744997886150586e-06
eco2ai,16,8,0.000417241707767,1,32,0.0820577170685483,26.93772836456299,47.17354989051819,1.905826231255408e-06,6.417183736309334e-07
eco2ai,17,16,0.0007626725025083,2,32,0.1929182430986163,22.833843743896484,87.08146476745605,3.7095795000637585e-06,1.2490673517844682e-06
eco2ai,18,8,0.000359302563951,3,64,0.1960586778899929,22.91871207733154,225.7544128894806,1.0521218093462418e-05,3.5426414291221045e-06
