tracker,model,dataset,batch_size,epochs_from,epochs_to,accuracy_from,accuracy_to,delta_accuracy,co2_from,co2_to,delta_co2_kg,incremental_AER
codecarbon,SimpleNN,MNIST,32,2,3,0.9683,0.9674,-0.0009000000000000119,9.569137882733366e-07,1.5435825908531562e-06,5.866688025798196e-07,-1534.0853238528255
codecarbon,SimpleNN,MNIST,32,3,4,0.9674,0.974,0.006599999999999939,1.5435825908531562e-06,2.045581016802847e-06,5.019984259496909e-07,13147.451583167664
codecarbon,SimpleNN,MNIST,32,4,4,0.974,0.9579,-0.016100000000000003,2.045581016802847e-06,2.208067718172704e-06,1.62486701369857e-07,-99085.03197041775
codecarbon,SimpleNN,MNIST,32,4,4,0.9747,0.9635,-0.011199999999999988,1.892439863796166e-06,1.9491604854926395e-06,5.672062169647345e-08,-197459.04866723873
codecarbon,SimpleNN,MNIST,32,4,5,0.9635,0.9687,0.005199999999999982,1.9491604854926395e-06,2.4789720394608492e-06,5.298115539682098e-07,9814.810494510275
codecarbon,SimpleNN,MNIST,32,5,5,0.9687,0.9638,-0.0049000000000000155,2.4789720394608492e-06,2.489059825273246e-06,1.0087785812396677e-08,-485735.9276976821
codecarbon,SimpleNN,MNIST,64,2,3,0.9718,0.9478,-0.02400000000000002,7.923127683586567e-07,1.1959866682948242e-06,4.036738999361675e-07,-59453.9305211338
codecarbon,SimpleNN,MNIST,64,3,3,0.9478,0.9714,0.023600000000000065,1.1959866682948242e-06,1.198755222144011e-06,2.768553849186697e-09,8524305.932114309
codecarbon,SimpleNN,MNIST,64,3,4,0.9714,0.9707,-0.0007000000000000339,1.198755222144011e-06,1.6525562729585402e-06,4.538010508145293e-07,-1542.52617693062
codecarbon,SimpleNN,MNIST,64,4,5,0.9344,0.9743,0.03990000000000005,1.5756298365518685e-06,1.9570177015123103e-06,3.8138786496044185e-07,104617.90650874154
codecarbon,SimpleNN,MNIST,64,5,5,0.9743,0.9731,-0.0012000000000000899,1.9570177015123103e-06,2.21290696838067e-06,2.5588926686835974e-07,-4689.528461611563
codecarbon,SimpleNN,MNIST,64,5,6,0.9731,0.9757,0.0026000000000000467,2.21290696838067e-06,2.4875756656496127e-06,2.7466869726894264e-07,9465.94943600089
codecarbon,SimpleNN,MNIST,128,2,3,0.9674,0.943,-0.02440000000000009,7.032818991393487e-07,1.0131033134751113e-06,3.0982141433576264e-07,-78755.04684630058
codecarbon,SimpleNN,MNIST,128,3,3,0.943,0.9702,0.027200000000000002,1.0131033134751113e-06,1.0934779401685456e-06,8.037462669343429e-08,338415.257637793
codecarbon,SimpleNN,MNIST,128,3,3,0.9702,0.9422,-0.027999999999999914,1.0934779401685456e-06,1.1977604835995525e-06,1.0428254343100688e-07,-268501.3145898638
codecarbon,SimpleNN,MNIST,128,3,4,0.9719,0.9547,-0.017199999999999993,1.036475676262053e-06,1.4566185222215756e-06,4.2014284595952263e-07,-40938.45739707555
codecarbon,SimpleNN,MNIST,128,4,5,0.9547,0.9695,0.014800000000000035,1.4566185222215756e-06,4.624996986062118e-06,3.168378463840542e-06,4671.159133577828
codecarbon,SimpleNN,MNIST,256,2,3,0.9418,0.9117,-0.030100000000000016,6.571948785680292e-07,1.1061258118532383e-06,4.4893093328520916e-07,-67048.17549490907
codecarbon,SimpleNN,MNIST,256,3,3,0.9445,0.9722,0.027699999999999947,9.759356655327174e-07,1.1173544736969072e-06,1.414188081641898e-07,195872.1075335308
codecarbon,SimpleNN,MNIST,256,3,3,0.9722,0.9271,-0.04509999999999992,1.1173544736969072e-06,1.1604318002947991e-06,4.3077326597891944e-08,-1046954.4784194421
codecarbon,SimpleNN,MNIST,256,3,4,0.9738,0.9456,-0.028200000000000003,1.010699121970613e-06,1.3112044821925903e-06,3.0050536022197736e-07,-93841.92008811164
codecarbon,SimpleNN,MNIST,256,4,5,0.9722,0.9207,-0.05149999999999999,1.274255712877418e-06,1.62614541435001e-06,3.5188970147259206e-07,-146352.67751367032
codecarbon,SimpleNN,MNIST,256,5,5,0.9161,0.9767,0.06059999999999999,1.6000212881384696e-06,1.8657270266724728e-06,2.6570573853400315e-07,228071.85247241028
codecarbon,SimpleNN,MNIST,256,5,6,0.9353,0.9681,0.03279999999999994,1.5995417652607537e-06,1.91323445418076e-06,3.136926889200061e-07,104560.93227076827
codecarbon,SimpleNN,MNIST,256,6,6,0.9681,0.9775,0.009400000000000075,1.91323445418076e-06,2.172669054666552e-06,2.594346004857922e-07,36232.63813846936
cumulator,SimpleNN,MNIST,32,1,1,0.9485,0.9303,-0.018199999999999994,2.3023207717471653e-06,2.5172271079487273e-06,2.1490633620156203e-07,-84688.05676781022
cumulator,SimpleNN,MNIST,32,1,1,0.9303,0.9636,0.033299999999999996,2.5172271079487273e-06,2.568278963036007e-06,5.1051855087279734e-08,652277.9621439681
cumulator,SimpleNN,MNIST,32,1,2,0.93,0.9602,0.030200000000000005,2.533739182684157e-06,4.2892113208770754e-06,1.7554721381929184e-06,17203.349083676065
cumulator,SimpleNN,MNIST,32,2,2,0.9602,0.9611,0.0008999999999999009,4.2892113208770754e-06,4.490308472845289e-06,2.0109715196821372e-07,4475.448762905199
cumulator,SimpleNN,MNIST,32,2,2,0.9639,0.9724,0.008500000000000063,4.303662433889177e-06,5.250487939516703e-06,9.468255056275265e-07,8977.366948270503
cumulator,SimpleNN,MNIST,32,2,3,0.9727,0.9678,-0.0049000000000000155,4.5206025732888114e-06,6.611232516500685e-06,2.0906299432118733e-06,-2343.7911696950323
