tracker,trial,batch_size,learning_rate,hidden_size,epochs,accuracy,time_sec,energy_kwh,co2_kg
codecarbon,0,256,0.000999838598016,,6,0.9681,9.505661249160768,5.7850932038194475e-06,1.91323445418076e-06
codecarbon,1,256,0.0005696689627383,,4,0.9456,7.531053066253662,3.964720644756531e-06,1.3112044821925903e-06
codecarbon,2,32,0.0012792349948703,,4,0.974,9.484498977661133,6.185272700012842e-06,2.045581016802847e-06
codecarbon,3,256,0.0003188072631846,,3,0.9271,6.439568996429443,3.5088256469100533e-06,1.1604318002947991e-06
codecarbon,4,32,0.0004142997354919,,5,0.9687,11.45514702796936,7.495727597109468e-06,2.4789720394608492e-06
codecarbon,5,64,0.000304624588986,,3,0.9478,7.056469917297363,3.616333759561996e-06,1.1959866682948242e-06
codecarbon,6,128,0.0059008104407558,,2,0.9692,5.578336954116821,2.277993791242971e-06,7.533735506522929e-07
codecarbon,7,256,0.0079524365941003,,3,0.9722,6.418351173400879,3.378571694606605e-06,1.1173544736969072e-06
codecarbon,8,256,0.007216504296924,,3,0.9738,6.354405879974365,3.0560753329743557e-06,1.010699121970613e-06
codecarbon,9,128,0.0008592386269808,,5,0.9695,9.753612041473389,1.3984715032330014e-05,4.624996986062118e-06
codecarbon,10,256,0.0008026457534645,,2,0.9384,5.650141000747681,2.621181322797357e-06,8.668718447128962e-07
codecarbon,11,256,0.0032770441306377,,6,0.9775,9.856631994247437,6.569551867955635e-06,2.172669054666552e-06
codecarbon,12,32,0.0002317621031297,,2,0.9395,6.390782833099365,3.6264799173549464e-06,1.1993421853077933e-06
codecarbon,13,128,0.0020437317720166,,2,0.9598,5.510494947433472,2.2694349902927e-06,7.505430011196211e-07
codecarbon,14,128,0.0005515473859763,,4,0.9547,7.808599948883057,4.404412587828832e-06,1.4566185222215756e-06
codecarbon,15,64,0.0011735409000252,,5,0.9743,9.905272960662842,5.917481665685902e-06,1.9570177015123103e-06
codecarbon,16,64,0.0027461042946313,,2,0.9718,5.7404961585998535,2.395735243798815e-06,7.923127683586567e-07
codecarbon,17,128,0.0004010000918614,,3,0.943,6.601487159729004,3.0633449448627267e-06,1.0131033134751113e-06
codecarbon,18,128,0.0060452158663363,,3,0.9702,6.6371989250183105,3.306375643806946e-06,1.0934779401685456e-06
codecarbon,19,64,0.0008268636733519,,5,0.9731,9.690592765808104,6.691220218980128e-06,2.21290696838067e-06
codecarbon,20,128,0.0003936011615098,,3,0.9422,6.646326065063477,3.621697287718093e-06,1.1977604835995525e-06
codecarbon,21,32,0.000538968402115,,3,0.9674,8.037338256835938,4.667367941427912e-06,1.5435825908531562e-06
codecarbon,22,64,0.0063474212245907,,4,0.9707,8.609871864318848,4.996874294590981e-06,1.6525562729585402e-06
codecarbon,23,32,0.0068729932961272,,5,0.9638,11.582889080047607,7.52623027858552e-06,2.489059825273246e-06
codecarbon,24,128,0.0074116266416287,,5,0.9705,9.169906854629517,7.750454615052557e-06,2.5632148493809516e-06
codecarbon,25,32,0.0002442699171936,,4,0.9579,10.004592180252075,6.676587661308741e-06,2.208067718172704e-06
codecarbon,26,256,0.0045227163966703,,3,0.973,6.489292860031128,2.994053904844112e-06,9.901875193022351e-07
codecarbon,27,256,0.0001610215791742,,3,0.9117,6.528067111968994,3.3446193187345056e-06,1.1061258118532383e-06
codecarbon,28,128,0.0001497343823065,,3,0.9188,6.654914140701294,3.2648887352074703e-06,1.079757472730344e-06
codecarbon,29,32,0.0005357221165308,,4,0.9739,9.850000143051147,6.608676632198712e-06,2.1856083184474936e-06
codecarbon,30,256,0.0001455572487735,,5,0.9207,8.771924018859863,4.917015143868825e-06,1.62614541435001e-06
codecarbon,31,64,0.0039986781548044,,3,0.9714,7.125582933425903,3.6247051026675618e-06,1.198755222144011e-06
codecarbon,32,32,0.0010685780580763,,2,0.9676,6.513491868972778,3.096313481323201e-06,1.0240066019162463e-06
codecarbon,33,32,0.0094257834097608,,5,0.9671,11.28522801399231,7.206876312131451e-06,2.3834437201954894e-06
codecarbon,34,128,0.0056463960765453,,2,0.9722,5.500108003616333,2.1516804531958186e-06,7.115994561200148e-07
codecarbon,35,128,0.0031527935456514,,3,0.9719,6.6796510219573975,3.1340165224210745e-06,1.036475676262053e-06
