model,dataset,batch_size,epochs,accuracy,time_sec,co2_kg

# MNIST CodeCarbon (baseline runs)
SimpleNN,MNIST,, ,0.9686,7.0488409996032715,1.2287970735893586e-06
SimpleNN,MNIST,, ,0.9698,6.935209274291992,1.1259697315387268e-06
SimpleNN,MNIST,, ,0.9674,6.982836008071899,1.1322414941284327e-06
SimpleNN,MNIST,, ,0.9705,6.988929033279419,1.1772743141314866e-06

# DnCNN CodeCarbon (baseline runs)
DnCNN,TinyImageNet_noisy,, ,26.473839506935388,158.38905119895935,0.0001587417389914853
DnCNN,TinyImageNet_noisy,, ,26.709489907700412,159.48159527778625,0.0001570087478296219
DnCNN,TinyImageNet_noisy,, ,26.721285402584382,158.16980981826782,0.00015661209292552867

# MNIST CodeCarbon Experiments
SimpleNN,MNIST,32,1,0.956,4.850539922714233,5.452917305833724e-07
SimpleNN,MNIST,32,3,0.9723,8.315696001052856,1.547839170667107e-06
SimpleNN,MNIST,128,1,0.9359,4.405716180801392,4.6002329743502824e-07
SimpleNN,MNIST,128,3,0.9591,6.747491121292114,1.0554030032066007e-06

# DnCNN CodeCarbon Experiments
DnCNN,TinyImageNet_noisy,16,1,26.277551513671874,91.37360000610352,8.362468374369106e-05
DnCNN,TinyImageNet_noisy,16,2,26.529248751831055,159.32299184799194,0.00015996342746005233
DnCNN,TinyImageNet_noisy,32,1,25.971135885951618,87.80071496963501,8.332582710886177e-05
DnCNN,TinyImageNet_noisy,32,2,26.641154274011193,155.7861840724945,0.00015879107256128473
