trial,device,batch_size,learning_rate,epochs,channels,noise_std,psnr,time_sec,energy_kwh,co2_kg
0,mps,16,0.0023214015568027106,3,128,0.1427688174745983,24.580200207519532,59.24144792556763,0.000269900161,7.760533805600001e-05
1,mps,8,0.0017887830675208075,3,64,0.22766453484042953,22.134262791442872,22.93318486213684,0.000107686431,3.0963456514e-05
2,mps,8,0.00241545465458339,1,128,0.2799002604436354,20.987988777160645,21.599207162857056,9.0576557e-05,2.6043794354000002e-05
3,mps,32,0.00018709008992316445,2,32,0.23809636331565665,20.80487045312461,7.101539134979248,2.7386942e-05,7.874663213e-06
4,mps,8,0.000415753217415151,4,64,0.0889181199626183,27.75923663482666,37.18406677246094,9.0657549e-05,2.6067082326e-05
5,mps,16,0.001997057667764873,2,128,0.23173350599446357,22.100816143798827,47.795746088027954,0.000129589055,3.7261194534e-05
6,mps,8,0.0005840324569829015,2,128,0.05803114333459565,30.321184562683104,50.700310945510864,0.000128882255,3.7057965968999994e-05
7,mps,8,0.005368342111373726,2,32,0.18451888307361614,22.986754852294922,12.904172897338867,2.6968816e-05,7.754438192e-06
8,mps,32,0.0007153941573101513,3,128,0.15877430623913008,24.154579570879953,71.86829710006714,0.000184770368,5.3127670504e-05
9,mps,8,0.0010981780119922807,2,32,0.08036734246501724,27.521811753845213,12.443377017974854,2.6079042e-05,7.498598213e-06
10,mps,8,0.0018773724079554906,2,64,0.12966630014783687,25.281405024719238,18.435107707977295,4.9170259e-05,1.4138096696e-05
11,mps,16,0.001836348753685177,3,128,0.27127401008314933,21.384933630371094,73.03063106536865,0.000188008379,5.4058707134000006e-05
12,mps,16,0.00017616187520604344,4,64,0.13658846443351735,24.957694891357423,35.50143218040466,7.5862951e-05,2.1813139947000002e-05
13,mps,8,0.007358600276332023,1,32,0.19775251754357115,22.51859753112793,6.541277885437012,1.2654226e-05,3.638513852e-06
14,mps,8,0.000286601737046396,1,128,0.2816762107530762,21.122227532958984,25.267077207565308,6.7544884e-05,1.9421416767e-05
15,mps,16,0.0014342615187678653,3,128,0.1170411989366364,26.037444677734374,78.90049910545349,0.000181341932,5.2141880422e-05
16,mps,32,0.0013953730704626408,1,32,0.0805856792078299,26.802665198572907,6.6686317920684814,1.1781988e-05,3.387716222e-06
17,mps,8,0.00030228338689712976,1,128,0.2750382858641273,21.165299281311036,27.214447021484375,6.5217553e-05,1.8752231208e-05
18,mps,32,0.003653056154625147,3,64,0.12814440158495988,25.29536392894416,25.809842824935913,5.2164565e-05,1.4999059848000001e-05
19,mps,16,0.00023528155424725887,1,128,0.08541775214290702,27.14171019592285,25.32986307144165,5.7056946e-05,1.6405783296e-05
