trial,device,batch_size,learning_rate,epochs,channels,noise_factor,psnr,time_sec,energy_kwh,co2_kg
0,mps,32,0.0070448289914410225,3,64,0.24556300820877963,11.226295416347515,35.86023712158203,7.192240226058839e-05,2.378603303081727e-05
1,mps,8,0.00019562461671805047,4,64,0.14051041023019373,24.92032295074463,63.87364101409912,9.485125393181215e-05,3.136901699782105e-05
2,mps,8,0.0007022571820292023,2,64,0.09625638160982876,27.0814197555542,34.406835079193115,6.488553431740949e-05,2.145881413838503e-05
3,mps,16,0.000507519090956515,2,64,0.10847558331080127,26.216233212280272,33.80093312263489,5.922204233185712e-05,1.9585795395907124e-05
4,mps,32,0.00016020373219418737,1,32,0.08916211561232527,22.766730299392066,13.805897951126099,1.0010545667776217e-05,3.310667642155615e-06
5,mps,16,0.0009613612955035346,3,64,0.14072408335925268,24.731886932373047,38.112403869628906,5.554788957463239e-05,1.8370686944343276e-05
6,mps,32,0.00014116210756776523,1,64,0.29655958823025613,19.775939228435675,16.206897020339966,1.129760740306425e-05,3.736322125126603e-06
7,mps,8,0.0004392765142665881,1,128,0.1345026374733665,25.02998435974121,38.08381223678589,5.252117604711381e-05,1.7369698299949385e-05
8,mps,16,0.004406095820665668,1,128,0.26108456736490093,20.396763330078127,37.046725273132324,6.598598792340842e-05,2.1822753954053787e-05
9,mps,16,0.0014378442715801461,1,64,0.13242336483524209,24.426181756591795,19.71836805343628,3.684591414270583e-05,1.2185607033447388e-05
10,mps,32,0.008267367365566672,3,128,0.20653058199169244,18.72004081189823,80.66082692146301,0.0001871055412334975,6.187917038565983e-05
11,mps,32,0.00012387878849777798,3,64,0.2755883576933399,20.880301752791237,35.716866970062256,6.873341051657089e-05,2.273137605921929e-05
12,mps,32,0.008048124745201488,3,128,0.17316866510802742,19.099877037560216,81.63350915908813,0.0001767354144813082,5.844958280642929e-05
13,mps,8,0.0037447514566176852,4,64,0.07433532449011278,28.218994569396973,56.58259105682373,6.878378863541562e-05,2.2748037009927383e-05
14,mps,16,0.0001654289610713389,4,32,0.07558347077095588,27.227997970581054,29.706247806549072,3.265293277070775e-05,1.0798912620062926e-05
15,mps,16,0.0010208288038283993,1,64,0.21725711850328,22.14647914123535,17.890955924987793,1.2938456666341568e-05,4.278980511779151e-06
16,mps,32,0.0036735245552178253,1,128,0.12493065498325635,19.537476722424785,33.781310081481934,8.11512222135024e-05,2.6838169908005088e-05
17,mps,32,0.0004024233541958554,4,128,0.22060054595367112,22.38858325336688,102.71792101860046,0.00024284760915213368,8.031407560357535e-05
18,mps,8,0.00011363443589786784,4,32,0.11640536175622428,25.42876262969971,42.82568597793579,4.7504681357665063e-05,1.5710653209244273e-05
19,mps,16,0.0008352860303097074,2,32,0.1816952989506203,23.106481896972657,17.560503005981445,1.2629588505283387e-05,4.176832251290311e-06
