trial,device,batch_size,learning_rate,epochs,channels,noise_factor,psnr,time_sec,energy_kwh,co2_kg
4,mps,16,0.0002994207654884228,1,64,0.07961242367576683,27.195281982421875,16.21326184272766,9.007367690404256e-05,2.0987166718641914e-05
5,mps,8,0.006175032514409435,3,64,0.14456897909890715,24.207418948364257,42.713013887405396,0.000237294516298506,5.5289622297551894e-05
6,mps,16,0.00023825400293190277,4,32,0.13085287866658563,24.341571530151366,26.90868878364563,0.00014949271546469794,3.4831802703274623e-05
7,mps,32,0.005510462225455244,2,128,0.12965375632737297,11.225886817176502,53.56609916687012,0.00029758943981594507,6.933833947711521e-05
8,mps,32,0.0002948589439104494,1,32,0.11442511305299032,24.104684232522885,8.834256887435913,4.907919963200887e-05,1.1435453514258067e-05
9,mps,16,0.0016382524512421138,1,32,0.23157066530834797,21.784734411621095,8.867277145385742,4.926264418496026e-05,1.1478196095095742e-05
10,mps,8,0.0010523877112492079,1,32,0.1980841629880951,22.49915587310791,19.38992476463318,0.00010772179894977146,2.509917915529675e-05
11,mps,32,0.00014390855741452374,4,64,0.07128839368750155,28.284751849433484,38.05743217468262,0.00021143017874823675,4.926323164833916e-05
12,mps,16,0.00015436031835284564,1,64,0.11222927439184961,25.114050549316406,14.431061029434204,8.017255597644382e-05,1.8680205542511407e-05
13,mps,32,0.0005793196638599079,2,64,0.09101501343377087,26.981259678118526,21.384703159332275,0.00011880390644073486,2.7681310200691222e-05
14,mps,16,0.0016609974644002366,4,32,0.19436381496970434,22.732473431396485,25.165886878967285,0.00013981047868728637,3.257584153413773e-05
15,mps,8,0.001047933072416714,2,32,0.1394301700189733,24.739497970581056,34.23651194572449,0.00019020284944110447,4.431726391977734e-05
16,mps,8,0.0004030632107257984,3,64,0.10574336013083831,26.666648495483397,37.98959422111511,0.00021105329593022664,4.917541795174281e-05
17,mps,8,0.0005497300299339099,1,128,0.23272016868160422,22.029627700805666,36.041179180145264,0.00020022877322302925,4.665330416096582e-05
18,mps,16,0.006244407620831483,4,64,0.10391387968558684,11.235256639099122,45.47552990913391,0.0002526418328285217,5.8865547049045555e-05
19,mps,16,0.0019419370967676585,4,64,0.24612620017583764,21.62851810913086,45.04079484939575,0.000250226632754008,5.8302805431683864e-05
