trial,device,batch_size,learning_rate,epochs,channels,noise_std,psnr,time_sec,energy_kwh,co2_kg
0,mps,16,0.00035952466287975576,4,128,0.13328546905565625,25.32886449279785,108.35474514961243,2.180572261783027e-06,7.342292085540101e-07
1,mps,8,0.00018953024159375087,1,128,0.1288650934312664,25.191171640014648,38.2926070690155,9.107686147876848e-07,3.066685433596205e-07
2,mps,32,0.0017602304934454024,1,32,0.17917937340561124,22.336845373574157,11.24583888053894,3.054868306154883e-07,1.028616926838635e-07
3,mps,16,0.009249235391646916,4,32,0.17320911003459077,23.37420145263672,29.463059902191162,6.290450281706702e-07,2.11808267615459e-07
4,mps,16,0.0046274380032282365,3,32,0.11310066674104292,25.725962969970702,24.388890266418457,5.332476608627227e-07,1.795519528797308e-07
5,mps,32,0.0005206288639379294,1,64,0.16408433150529528,23.277702069511047,15.84164810180664,3.380054435808688e-07,1.1381116492988866e-07
6,mps,8,0.0008818394885786773,1,32,0.09384850878909241,26.489681478881835,17.45635485649109,3.524167704612561e-07,1.186636604490914e-07
7,mps,16,0.000718403328090875,2,32,0.2524948618730173,21.427333154296875,17.11272883415222,3.82981638098651e-07,1.2895527929074918e-07
8,mps,32,0.007275337035390685,2,128,0.1738691559100068,11.226129336859852,56.50796580314636,1.247675677833513e-06,4.201098681860335e-07
9,mps,16,0.0011379362280687002,4,128,0.1230383699660136,25.738557510375976,109.7126407623291,2.4560001612371704e-06,8.269696382908125e-07
10,mps,8,0.005295661255458633,4,64,0.17049365005251482,23.627620335388183,74.37174820899963,1.694614340900671e-06,5.706003731820286e-07
11,mps,16,0.00034729926451210837,2,64,0.12072026236743703,25.50576817932129,33.59657526016235,7.522074769978341e-07,2.532787884098487e-07
12,mps,32,0.0007321186609220557,1,32,0.16866524023852242,22.521945514618018,11.044435977935791,2.692039362534615e-07,9.064473419164805e-08
13,mps,8,0.005340015211084014,3,64,0.17419951815647183,23.374758894348144,53.55244183540344,1.0901998841719282e-06,3.670855637990666e-07
14,mps,8,0.00037508014614695084,4,128,0.20177796288824618,23.152835563659668,137.3712601661682,2.7522540712485955e-06,9.267224773463996e-07
15,mps,32,0.002207877430219031,1,64,0.24776549953123128,21.16015874235013,15.992916822433472,3.81656622483888e-07,1.2850912798303985e-07
16,mps,16,0.006010148170992792,1,32,0.1336092771920082,23.834431869506837,13.30159616470337,3.2564240052427826e-07,1.0964835525013185e-07
17,mps,32,0.002851897039102892,1,32,0.10806774755675848,25.545639287930328,10.34491491317749,2.562416392822797e-07,8.628014732929351e-08
18,mps,16,0.0018258646387809903,4,128,0.1792830593704111,23.582754638671876,118.56699109077454,2.979709033895688e-06,1.0033097476391523e-06
19,mps,32,0.008360695745952815,4,64,0.19921570104282033,19.048030539442557,50.07069516181946,1.244843310807179e-06,4.191561705551286e-07
