trial,model,dataset,device,batch_size,learning_rate,epochs,accuracy,time_sec,energy_kwh,co2_kg
0,SimpleNN,MNIST,mps,64,0.00872445141898564,2,0.9665,5.407789945602417,9.524936e-06,2.738738094e-06
1,SimpleNN,MNIST,mps,256,0.00017698791388358096,2,0.9074,3.1271910667419434,6.05338e-06,1.740549586e-06
2,SimpleNN,MNIST,mps,64,0.00848019682105637,3,0.9651,8.096158027648926,1.4182498e-05,4.077943171e-06
3,SimpleNN,MNIST,mps,256,0.004406481381451555,4,0.9702,5.960777997970581,1.1341493e-05,3.261059038e-06
4,SimpleNN,MNIST,mps,128,0.0011285385009525504,4,0.9718,7.692008972167969,1.4875142e-05,4.277101537e-06
5,SimpleNN,MNIST,mps,256,0.002046396566871779,4,0.9697,6.206995964050293,1.2422233e-05,3.571808269e-06
6,SimpleNN,MNIST,mps,32,0.0017723375159641092,3,0.9734,11.940813064575195,1.9546703e-05,5.620332009e-06
7,SimpleNN,MNIST,mps,256,0.0013106622119068545,3,0.9548,4.476102828979492,8.750812e-06,2.516151538e-06
8,SimpleNN,MNIST,mps,128,0.0020238045918896945,3,0.9712,5.7030558586120605,1.0684144e-05,3.072049379e-06
9,SimpleNN,MNIST,mps,128,0.005795370130417016,5,0.9728,9.750365018844604,2.0417983e-05,5.870854163e-06
10,SimpleNN,MNIST,mps,64,0.0003077044706590556,5,0.9626,13.939591884613037,2.3812188e-05,6.846801827e-06
11,SimpleNN,MNIST,mps,32,0.0032289517689430432,6,0.9745,24.32617497444153,4.1412713e-05,1.1907542340999998e-05
12,SimpleNN,MNIST,mps,64,0.005390515632757007,4,0.9659,11.539470672607422,2.8275477e-05,8.130146827e-06
13,SimpleNN,MNIST,mps,32,0.00014840000751372627,6,0.9554,26.672592163085938,7.2685163e-05,2.0899419454e-05
14,SimpleNN,MNIST,mps,64,0.0010711028495344747,2,0.9612,5.459056854248047,1.0319091e-05,2.967084234e-06
15,SimpleNN,MNIST,mps,256,0.001505013159212444,3,0.9607,4.560313940048218,9.438333e-06,2.71383701e-06
16,SimpleNN,MNIST,mps,128,0.002805122591755848,3,0.9736,5.642416715621948,1.0097405e-05,2.903342259e-06
17,SimpleNN,MNIST,mps,32,0.00031685085955210444,4,0.9642,18.18913698196411,4.6319776e-05,1.3318487198e-05
18,SimpleNN,MNIST,mps,256,0.00026555080037572504,6,0.9418,10.011934995651245,3.7131732e-05,1.0676616927999999e-05
19,SimpleNN,MNIST,mps,32,0.003865425218935754,4,0.9691,16.67423725128174,3.7223778e-05,1.0703083241e-05
20,SimpleNN,MNIST,mps,256,0.0008123445182062813,3,0.9504,4.434921979904175,8.722398e-06,2.507981494e-06
21,SimpleNN,MNIST,mps,256,0.003899697435630662,3,0.9733,4.455245018005371,9.167447e-06,2.63594799e-06
22,SimpleNN,MNIST,mps,256,0.00017993001041843442,2,0.9039,2.9740989208221436,5.909645e-06,1.6992209480000001e-06
23,SimpleNN,MNIST,mps,128,0.0012232737235011615,3,0.9656,5.600570201873779,1.034873e-05,2.975606559e-06
24,SimpleNN,MNIST,mps,256,0.002140749270229927,2,0.9566,3.330540895462036,6.253101e-06,1.79797605e-06
25,SimpleNN,MNIST,mps,256,0.00040392134265375965,6,0.9537,8.801692008972168,1.7449684e-05,5.017368854e-06
26,SimpleNN,MNIST,mps,64,0.00021024022495358846,3,0.9403,7.832332134246826,1.3354783e-05,3.839947555e-06
27,SimpleNN,MNIST,mps,128,0.00021723376358953316,5,0.9389,9.353344917297363,1.7259135e-05,4.9625794579999995e-06
28,SimpleNN,MNIST,mps,256,0.002378266984359959,4,0.971,5.932086944580078,1.1827468e-05,3.400793346e-06
29,SimpleNN,MNIST,mps,256,0.0002420003762238572,6,0.9392,8.866614818572998,1.752652e-05,5.03946167e-06
30,SimpleNN,MNIST,mps,256,0.0022577892940052685,4,0.9691,5.882700204849243,1.1541877e-05,3.3186761740000003e-06
31,SimpleNN,MNIST,mps,256,0.00016892584606951965,3,0.9129,4.390031814575195,8.597043e-06,2.471937848e-06
32,SimpleNN,MNIST,mps,32,0.004015309474131339,4,0.9692,15.563512086868286,2.5719276e-05,7.395153327e-06
33,SimpleNN,MNIST,mps,128,0.0012240501392507066,2,0.9557,3.7214488983154297,6.83598e-06,1.965573174e-06
34,SimpleNN,MNIST,mps,256,0.0005624822953523493,4,0.9492,5.866331100463867,1.2540317e-05,3.6057613510000004e-06
35,SimpleNN,MNIST,mps,64,0.00011666814485219908,5,0.9352,12.9492769241333,2.1715387e-05,6.243901146e-06
36,SimpleNN,MNIST,mps,256,0.0006501732843905773,4,0.9541,5.8745551109313965,1.1504e-05,3.307785426e-06
37,SimpleNN,MNIST,mps,64,0.003849479004910952,2,0.9711,5.139147996902466,8.523591e-06,2.450818086e-06
38,SimpleNN,MNIST,mps,64,0.0043809084555038146,6,0.9697,15.458601236343384,2.5509555e-05,7.33485175e-06
39,SimpleNN,MNIST,mps,32,0.0007580307590219259,5,0.9765,19.108526945114136,3.1682111e-05,9.109668381e-06
40,SimpleNN,MNIST,mps,256,0.00021862105090989862,4,0.924,5.9003520011901855,1.103524e-05,3.173001235e-06
41,SimpleNN,MNIST,mps,32,0.00013008667633655443,4,0.9421,15.461552143096924,2.5600737e-05,7.361069407e-06
42,SimpleNN,MNIST,mps,256,0.0001763165771829052,4,0.9203,5.8760833740234375,1.1197187e-05,3.219566329e-06
43,SimpleNN,MNIST,mps,256,0.001944202080791275,4,0.9688,5.928802728652954,1.1713319e-05,3.367971572e-06
44,SimpleNN,MNIST,mps,64,0.0001349800214133047,4,0.9375,10.320446014404297,1.7356684e-05,4.990628175e-06
45,SimpleNN,MNIST,mps,256,0.005924130395789842,5,0.9753,7.328949928283691,1.455384e-05,4.184716446e-06
46,SimpleNN,MNIST,mps,64,0.0001899883799825663,4,0.9428,10.309208154678345,1.6999885e-05,4.888036498e-06
47,SimpleNN,MNIST,mps,32,0.008177911487694417,6,0.9655,22.820237159729004,3.6589114e-05,1.0520595931e-05
48,SimpleNN,MNIST,mps,64,0.00016924002809195097,5,0.9467,12.916903972625732,2.1335775e-05,6.134750177e-06
49,SimpleNN,MNIST,mps,128,0.0036503546282633183,2,0.9718,3.7712502479553223,7.211273e-06,2.073482695e-06
