trial,model,dataset,device,batch_size,learning_rate,epochs,accuracy,time_sec,energy_kwh,co2_kg
0,SimpleNN,MNIST,mps,256,0.0002380493494588175,3,0.9198,8.064806938171387,4.480448298984104e-05,1.4518194813065578e-06
1,SimpleNN,MNIST,mps,64,0.0011822730047535092,6,0.9731,18.530752897262573,0.00010294862720701429,1.3993509659112822e-05
2,SimpleNN,MNIST,mps,64,0.0002743337597293375,6,0.9625,17.713392972946167,9.840773873858981e-05,4.137388354388358e-06
3,SimpleNN,MNIST,mps,128,0.00017666709065909336,6,0.9418,14.185601234436035,7.880889574686687e-05,3.1376931167008665e-06
4,SimpleNN,MNIST,mps,32,0.0005164484349254282,6,0.9753,25.189549684524536,0.000139941942691803,1.142619140627486e-05
5,SimpleNN,MNIST,mps,32,0.00023539208687944132,6,0.9645,25.840994119644165,0.00014356107844246759,1.1429987000923713e-05
6,SimpleNN,MNIST,mps,64,0.006853788816340422,3,0.9665,10.610285758972168,5.894603199428982e-05,2.265791132584703e-06
7,SimpleNN,MNIST,mps,64,0.0034435079259004216,6,0.9706,18.106142282485962,0.00010058967934714424,1.4706650817675835e-05
8,SimpleNN,MNIST,mps,32,0.0019624729628866097,6,0.9728,25.887367963790894,0.0001438187109099494,1.1225538775809135e-05
9,SimpleNN,MNIST,mps,64,0.006007901000387746,2,0.9629,9.080058813095093,5.044477118386163e-05,4.173426463657715e-06
10,SimpleNN,MNIST,mps,256,0.008091610648822857,5,0.9724,12.110637664794922,6.72813203599718e-05,7.44199249811472e-06
11,SimpleNN,MNIST,mps,256,0.0001789774851558632,6,0.9305,12.516752243041992,6.95375124613444e-05,2.671849419302124e-06
12,SimpleNN,MNIST,mps,32,0.0001529506443520822,4,0.9455,18.936126947402954,0.00010520070526334975,1.441719470609664e-05
13,SimpleNN,MNIST,mps,32,0.004188521539975176,6,0.9717,26.54635214805603,0.00014747973415586683,1.117659747534944e-05
14,SimpleNN,MNIST,mps,64,0.0001311095254716144,2,0.9187,8.781293869018555,4.878496593899197e-05,2.226480478919964e-06
15,SimpleNN,MNIST,mps,64,0.0009604340219400518,3,0.9707,11.112505912780762,6.173614395989313e-05,2.4534937341910354e-06
16,SimpleNN,MNIST,mps,256,0.0017013726917917838,3,0.9619,7.853033065795898,4.362796147664388e-05,1.7008988206785027e-06
17,SimpleNN,MNIST,mps,256,0.00015985930963759742,2,0.9024,6.223664283752441,3.4575912687513565e-05,1.0106275230508757e-06
18,SimpleNN,MNIST,mps,128,0.009283474029582867,6,0.9742,14.41652774810791,8.009182082282173e-05,3.20461089958175e-06
19,SimpleNN,MNIST,mps,256,0.00013329133572667428,2,0.8951,6.130497217178345,3.405831787321303e-05,8.92036983135674e-07
20,SimpleNN,MNIST,mps,64,0.0017029201120822232,5,0.9703,15.542052745819092,8.634473747677274e-05,3.6131884826083953e-06
21,SimpleNN,MNIST,mps,32,0.0011238488739384281,3,0.9714,14.39345407485962,7.99636337492201e-05,3.305251699983639e-06
22,SimpleNN,MNIST,mps,256,0.0027283828715843183,5,0.9742,10.60881781578064,5.8937876754336885e-05,2.144413268209186e-06
23,SimpleNN,MNIST,mps,32,0.002350713642906479,3,0.9711,14.93218207359314,8.295656707551744e-05,3.384100158060535e-06
24,SimpleNN,MNIST,mps,128,0.0033318673372754438,5,0.9725,12.558746814727783,6.977081563737657e-05,2.7042919080560117e-06
25,SimpleNN,MNIST,mps,128,0.002217791017373051,2,0.9677,6.940826892852783,3.856014940473768e-05,1.1709249722189966e-06
26,SimpleNN,MNIST,mps,256,0.0006815388589795677,3,0.9464,7.616121053695679,4.231178363164266e-05,1.349868359011169e-06
