trial,device,batch_size,learning_rate,hidden_size,epochs,accuracy,time_sec,energy_kwh,co2_kg
0,mps,256,0.0006055956577659528,128,6,0.958,9.28010106086731,5.155611700481838e-05,1.2012575262122684e-05
1,mps,32,0.0016151521521609615,128,5,0.975,20.041801929473877,0.00011134334405263265,2.5942999164263405e-05
2,mps,256,0.0015970270061112905,256,2,0.9607,3.546591281890869,1.9703279601203072e-05,4.590864147080316e-06
3,mps,32,0.0008538085944139165,256,2,0.9702,16.195261001586914,8.997366693284776e-05,2.096386439535353e-05
4,mps,64,0.00045146708697962884,128,3,0.9545,8.031498908996582,4.461943970786201e-05,1.0396329451931847e-05
5,mps,256,0.00012777473487315063,128,4,0.9171,6.267624855041504,3.482013278537326e-05,8.11309093899197e-06
6,mps,256,0.002206981973557537,256,2,0.9625,3.46443510055542,1.9246856371561685e-05,4.484517534573873e-06
7,mps,256,0.00121440565534465,64,4,0.9574,6.380316972732544,3.5446200105879043e-05,8.258964624669817e-06
8,mps,64,0.00045662810389732504,64,4,0.9516,10.699444055557251,5.944134924146864e-05,1.3849834373262194e-05
9,mps,32,0.002085564626892915,128,3,0.9723,12.116011142730713,6.731116639243232e-05,1.5683501769436733e-05
10,mps,128,0.00042163938210602474,128,6,0.9605,11.639169931411743,6.466204457812839e-05,1.5066256386703915e-05
11,mps,128,0.00048543429320186044,64,5,0.9518,9.618421077728271,5.343567132949829e-05,1.2450511419773102e-05
12,mps,256,0.00015059439280117333,128,4,0.9165,6.340903997421265,3.522723913192749e-05,8.207946717739105e-06
13,mps,128,0.0015295699269129773,128,3,0.9687,6.248897075653076,3.4716088242001004e-05,8.088848560386235e-06
14,mps,64,0.0024732205318064855,64,3,0.9715,8.5690438747406,4.7605794005923804e-05,1.1092150003380246e-05
15,mps,256,0.0003053563973984764,128,2,0.9163,3.5858678817749023,1.9921482933892144e-05,4.641705523596869e-06
16,mps,32,0.0016953003508751291,128,3,0.9739,12.310296773910522,6.839053233464559e-05,1.5934994033972424e-05
