trial,model,dataset,device,batch_size,learning_rate,hidden_size,epochs,accuracy,time_sec,energy_kwh,co2_kg
0,SimpleNN,MNIST,mps,64,0.005165274151054209,256,5,0.9754,20.93315029144287,1.1360460133281928e-06,3.825225973317891e-07
1,SimpleNN,MNIST,mps,256,0.005286837959454968,256,3,0.975,6.755043029785156,3.8082454474836897e-07,1.282289557604023e-07
2,SimpleNN,MNIST,mps,64,0.00013000356677237112,64,3,0.918,9.46515417098999,5.436461642261748e-07,1.8305327454125226e-07
3,SimpleNN,MNIST,mps,64,0.0003796720090240723,64,2,0.9305,6.853829860687256,3.9382094011974307e-07,1.3260502403147918e-07
4,SimpleNN,MNIST,mps,128,0.0009729535687592647,64,5,0.9631,11.34040117263794,6.624336968074355e-07,2.2305069978681885e-07
5,SimpleNN,MNIST,mps,32,0.0002623541825497562,128,6,0.9672,24.902352809906006,1.44131881575125e-06,4.853122237268664e-07
6,SimpleNN,MNIST,mps,64,0.0017132041170877773,128,6,0.9786,17.301693201065063,9.469254239517492e-07,3.188430472004893e-07
7,SimpleNN,MNIST,mps,32,0.0014581376971808874,256,4,0.9753,28.11994695663452,1.5086014149115577e-06,5.079672168205302e-07
8,SimpleNN,MNIST,mps,256,0.0003511937601107188,256,4,0.9459,8.384943962097168,4.334424847896419e-07,1.459461528234595e-07
9,SimpleNN,MNIST,mps,64,0.0001044179618183509,64,2,0.9075,6.993750095367432,3.6195634972955306e-07,1.2187577034283673e-07
10,SimpleNN,MNIST,mps,128,0.0011488219308499019,64,2,0.9448,5.658167123794556,2.9385988016656485e-07,9.894673569040473e-08
11,SimpleNN,MNIST,mps,256,0.0005389551906484409,128,6,0.958,10.878690242767334,5.648356507416945e-07,1.901880713038389e-07
12,SimpleNN,MNIST,mps,64,0.0005085453408151027,64,4,0.956,13.392854928970337,6.995517451749341e-07,2.3554886632483277e-07
13,SimpleNN,MNIST,mps,64,0.00026729633749188176,256,3,0.9549,13.423374891281128,7.013798802184585e-07,2.3616442498787806e-07
14,SimpleNN,MNIST,mps,128,0.0007140540438438441,128,2,0.9467,5.643259048461914,2.9576203144188185e-07,9.95872166549218e-08
15,SimpleNN,MNIST,mps,64,0.0004288657464273339,128,2,0.9437,6.904627799987793,3.625950233227589e-07,1.2209082068309942e-07
16,SimpleNN,MNIST,mps,256,0.007807862930947514,64,6,0.9725,10.64651107788086,5.62713136871101e-07,1.8947339116841589e-07
17,SimpleNN,MNIST,mps,32,0.009142278912280661,128,2,0.9613,9.485417127609253,5.021654273718923e-07,1.6908612971209938e-07
